#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
      2.00      4.00   1683.74     19.07      0.00    167.19     30.40    194.13    204.83
      3.00      6.00   1686.14     27.83      0.00    164.92     30.40    193.14    204.66
      4.00      8.00   1685.87     35.40      0.00    164.01     30.40    194.07    204.46
      5.00     10.00   1685.12     44.53      0.00    170.72     30.40    194.87    203.79
      6.00     12.00   1678.12     48.87      0.00    172.92     30.40    193.25    206.42
      7.00     14.00   1679.19     54.55      0.00    177.41     30.40    194.13    204.69
      8.00     16.00   1675.43     55.86      0.00    180.71     30.40    193.28    207.46
      9.00     18.00   1674.52     60.57      0.00    178.35     30.40    193.78    207.73
     10.00     20.00   1717.08     95.09      0.00    189.29     30.40    201.62    198.20
     11.00     22.00   1716.86     98.80      0.00    190.30     30.40    201.63    198.45
     12.00     24.00   1717.16    102.29      0.00    189.99     30.40    201.71    198.01
     13.00     26.00   1716.08    105.73      0.00    190.65     30.40    202.34    197.92
     14.00     28.00   1713.96    109.50      0.00    188.94     30.40    203.06    198.30
     15.00     30.00   1711.67    113.56      0.00    189.09     30.40    203.41    198.70
     16.00     32.00   1710.12    113.23      0.00    190.37     30.40    203.36    198.80
     17.00     34.00   1707.15    119.85      0.00    191.92     30.40    203.03    199.68
     18.00     36.00   1705.87    122.18      0.00    193.59     30.40    202.93    199.94
     19.00     38.00   1708.61    121.39      0.00    195.12     30.40    203.86    199.21
     20.00     40.00   1708.39    123.45      0.00    195.16     30.40    203.83    199.55
     21.00     42.00   1702.23    130.15      0.00    194.72     30.40    202.93    201.88
     22.00     44.00   1699.39    133.42      0.00    194.09     30.40    202.88    203.35
     23.00     46.00   1699.16    134.22      0.00    194.98     30.40    203.24    203.29
     24.00     48.00   1698.79    134.89      0.00    194.84     30.40    203.30    203.58
     25.00     50.00   1698.53    135.56      0.00    195.04     30.40    203.20    203.00
     26.00     52.00   1699.94    137.29      0.00    195.06     30.40    203.66    203.77
     27.00     54.00   1699.35    140.47      0.00    195.66     30.40    203.52    204.16
     28.00     56.00   1697.27    141.23      0.00    195.77     30.40    203.12    204.99
     29.00     58.00   1696.42    143.31      0.00    194.91     30.40    201.14    205.31
     30.00     60.00   1695.07    145.73      0.00    195.30     30.40    201.12    206.73
     31.00     62.00   1695.74    148.61      0.00    195.82     30.40    201.67    206.88
     32.00     64.00   1694.19    149.28      0.00    195.69     30.40    201.90    207.95
     33.00     66.00   1696.46    152.98      0.00    195.59     30.40    202.18    206.94
     34.00     68.00   1697.67    155.53      0.00    195.79     30.40    202.46    206.55
     35.00     70.00   1698.80    157.53      0.00    196.28     30.40    203.17    205.83
     36.00     72.00   1699.70    159.10      0.00    196.21     30.40    203.29    205.11
     37.00     74.00   1699.67    158.90      0.00    197.38     30.40    203.66    205.52
     38.00     76.00   1701.25    159.33      0.00    196.47     30.40    204.12    203.65
     39.00     78.00   1699.74    158.95      0.00    194.82     30.40    202.58    204.83
     40.00     80.00   1701.38    157.70      0.00    194.05     30.40    204.13    201.01
     41.00     82.00   1702.51    157.92      0.00    194.76     30.40    203.20    199.68
     42.00     84.00   1701.73    158.93      0.00    194.34     30.40    202.32    201.42
     43.00     86.00   1703.03    159.91      0.00    194.92     30.40    203.24    199.12
     44.00     88.00   1701.52    158.85      0.00    194.00     30.40    202.30    201.89
     45.00     90.00   1702.05    160.15      0.00    194.13     30.40    201.87    202.06
     46.00     92.00   1702.60    162.02      0.00    193.70     30.40    201.15    201.00
     47.00     94.00   1703.97    164.38      0.00    193.61     30.40    200.50    199.85
     48.00     96.00   1704.57    164.37      0.00    194.87     30.40    199.70    201.15
     49.00     98.00   1707.27    168.25      0.00    192.80     30.40    199.85    195.71
     50.00    100.00   1708.25    171.09      0.00    191.40     30.40    198.09    195.08
     51.00    102.00   1707.66    175.41      0.00    190.62     30.40    195.16    195.71
     52.00    104.00   1709.38    175.50      0.00    188.96     30.40    194.74    195.37
     53.00    106.00   1698.06    176.11      0.00    197.92     30.40    197.30    201.76
     54.00    108.00   1699.86    176.21      0.00    194.98     30.40    197.31    201.06
     55.00    110.00   1700.23    177.12      0.00    193.66     30.40    197.56    200.68
     56.00    112.00   1699.66    176.88      0.00    193.29     30.40    199.14    199.35
     57.00    114.00   1700.01    178.08      0.00    192.43     30.40    198.39    199.93
     58.00    116.00   1704.95    186.01      0.00    187.25     30.40    189.43    202.00
     59.00    118.00   1702.00    190.64      0.00    191.33     30.40    189.77    204.29
     60.00    120.00   1703.88    190.98      0.00    190.95     30.40    189.35    201.25
     61.00    122.00   1704.37    190.61      0.00    189.73     30.40    189.86    201.68
     62.00    124.00   1705.66    188.86      0.00    189.71     30.40    190.35    196.14
     63.00    126.00   1700.73    188.84      0.00    184.30     30.40    194.62    212.89
     64.00    128.00   1707.64    182.46      0.00    183.39     30.40    190.15    190.01
     65.00    130.00   1705.52    189.48      0.00    183.76     30.40    189.86    193.57
     66.00    132.00   1703.87    180.73      0.00    183.05     30.40    195.95    192.80
     67.00    134.00   1704.62    176.99      0.00    181.95     30.40    196.47    190.89
     68.00    136.00   1702.92    182.13      0.00    182.90     30.40    195.48    194.68
     69.00    138.00   1701.81    183.93      0.00    182.64     30.40    196.30    195.71
     70.00    140.00   1702.74    179.05      0.00    181.45     30.40    195.52    190.71
     71.00    142.00   1701.10    183.15      0.00    182.79     30.40    198.00    194.66
     72.00    144.00   1699.90    181.84      0.00    182.92     30.40    201.15    196.94
     73.00    146.00   1699.25    181.17      0.00    183.08     30.40    201.50    196.99
     74.00    148.00   1699.75    178.38      0.00    180.69     30.40    201.32    195.84
     75.00    150.00   1700.08    178.97      0.00    181.15     30.40    202.03    194.93
     76.00    152.00   1702.08    176.08      0.00    179.24     30.40    200.24    191.67
     77.00    154.00   1702.41    174.22      0.00    178.86     30.40    199.81    192.06
     78.00    156.00   1703.38    174.23      0.00    177.59     30.40    200.41    192.82
     79.00    158.00   1703.08    174.77      0.00    176.98     30.40    201.17    193.91
     80.00    160.00   1703.03    173.43      0.00    176.94     30.40    202.32    192.74
     81.00    162.00   1700.04    180.89      0.00    173.79     30.40    204.00    221.64
     82.00    164.00   1700.19    182.16      0.00    174.09     30.40    203.57    221.20
     83.00    166.00   1704.01    178.35      0.00    174.03     30.40    205.42    205.75
     84.00    168.00   1700.85    181.20      0.00    173.24     30.40    205.00    221.13
     85.00    170.00   1702.16    180.34      0.00    172.45     30.40    203.66    216.87
     86.00    172.00   1702.47    179.79      0.00    173.01     30.40    203.71    214.87
     87.00    174.00   1703.46    176.44      0.00    170.32     30.40    207.51    212.46
     88.00    176.00   1703.55    176.22      0.00    169.41     30.40    207.58    213.03
     89.00    178.00   1703.22    171.69      0.00    167.27     30.40    211.13    218.72
     90.00    180.00   1700.66    173.05      0.00    167.00     30.40    209.93    225.01
     91.00    182.00   1701.31    173.40      0.00    166.73     30.40    209.35    223.88
     92.00    184.00   1701.83    174.89      0.00    167.17     30.40    208.23    222.45
     93.00    186.00   1702.15    172.80      0.00    171.66     30.40    203.16    208.31
     94.00    188.00   1700.84    173.63      0.00    170.70     30.40    201.38    210.06
     95.00    190.00   1703.89    176.15      0.00    164.58     30.40    209.53    229.38
     96.00    192.00   1743.17    164.09      0.00    181.42     30.40    236.04    131.42
     97.00    194.00   1703.38    177.18      0.00    168.12     30.40    196.70    217.67
     98.00    196.00   1702.95    166.57      0.00    173.99     30.40    209.23    209.59
     99.00    198.00   1707.33    175.64      0.00    168.53     30.40    202.43    208.10
    100.00    200.00   1704.97    169.75      0.00    174.82     30.40    206.15    205.27
    101.00    202.00   1706.54    177.96      0.00    166.60     30.40    201.63    216.44
    102.00    204.00   1706.28    176.81      0.00    166.71     30.40    203.11    214.88
    103.00    206.00   1706.47    171.35      0.00    165.85     30.40    206.47    211.23
    104.00    208.00   1706.40    171.49      0.00    166.86     30.40    205.50    213.26
    105.00    210.00   1706.16    170.00      0.00    163.31     30.40    204.21    212.77
